🗣️🌍	Part of Speech	English									简体中文									繁體中文									हिंदी									Русский									Português									Deutsch								
🍭	modifier	suwi	Tok Pisin suwi, ultimately from English sweet	sweet			sweet				suwi	Tok Pisin suwi, ultimately from English sweet	甜的			甜的				suwi	Tok Pisin suwi, ultimately from English sweet	甜的			甜的				सूवी	टोक पिसिन suwi सूवी, जिसका मूल है अंग्रेज़ी sweet स्वीट 'मीठा'	मीठा			मीठा				суви	Ток-писин suwi 'сладость', от английского sweet	конфета			сладость, варенье, десерт, торт				suwi	Tok Pisin suwi, derivado do inglês sweet 'doce'	doce			doce				suwi	Tok Pisin suwi, aus dem Englisch sweet 'süß'	süß			süß			
🪞	modifier	ta	Classical Syriac ܥܛܦ‎ ʿṭaf ‘to reflect, to return’	mirrored			reflected, mirrored, opposite				ta	Classical Syriac ܥܛܦ‎ ʿṭaf ‘to reflect, to return’	反射的			反射的、镜像的、相反的				ta	Classical Syriac ܥܛܦ‎ ʿṭaf ‘to reflect, to return’	反射的			反射的、鏡像的、相反的				ता	सीरियाई भाषा ܥܛܦ‎ ताफ़ ‘परछाई देना, उलटा करना, वापस करना’	उलटा			प्रतिबिंबित, उसटा, विप्रित, परछाई (आईने की तसवीर)				та	Сирийский классический ܥܛܦ‎ ʿṭaf ‘отзеркаливать, возвращать’	зеркальный			отраженный, зеркальный, противоположный				ta	Siríaco clássico ܥܛܦ‎ ʿṭaf ‘refletir, retornar’	espelhado			refletido, espelhado, oposto				ta	Klassisches Syrisch ܥܛܦ‎ ʿṭaf ‘reflektieren, zurückkehren’	gespiegelt			gespiegelt, reflektiert, gegenteilig			
😡	modifier	tajan	Mandarin 討厭 tǎoyàn 'to dislike, to loathe, to hate, to despise'	angry			angry, feeling hatred				tajan	Mandarin 討厭 tǎoyàn 'to dislike, to loathe, to hate, to despise'	愤怒的			愤怒的、憎恨的				tajan	Mandarin 討厭 tǎoyàn 'to dislike, to loathe, to hate, to despise'	憤怒的			憤怒的、憎恨的				तायां	चीनी 討厭 ताओयान 'नफ़रत करना'	ग़ुस्सा			ग़ुस्सा, नाराज़				таян	Китайский 討厭 tǎoyàn 'ненавидеть, презирать'	злой		ненависть	злой				tajan	Mandarim 討厭 tǎoyàn 'desgostar, detestar, odiar, desprezar'	bravo			bravo, sentindo ódio				tajan	Mandarin 討厭 tǎoyàn 'nicht mögen, hassen'	sauer			sauer, hassend			
🌊	noun	taka	Turkish dalga 'wave'	wave		rhythm, beat, wave, repeated action					taka	Turkish dalga 'wave'	波浪		节奏、节拍、波浪、重复动作					taka	Turkish dalga 'wave'	波浪		節奏、節拍、波浪、重複動作					ताका	तुर्की dalga दालगा 'लहर'	लहर		ताल, लहर, बार बार (होने वाली चीज़)					така	Турецкий dalga 'волна'	волна		ритм, волна, повторяющееся действие					taka	Turco dalga 'onda'	onda		ritmo, batida, onda, ação repitida					taka	Türkisch dalga 'Welle'	Welle		Rhythmus, Beat, Welle, wiederholte Aktion				
📋	noun	talika	Bengali তালিকা talika 'list, chart, table'	list		list, series, table, chart, data					talika	Bengali তালিকা talika 'list, chart, table'	系列		列表、系列、表格、图表、数据					talika	Bengali তালিকা talika 'list, chart, table'	系列		列表、系列、表格、圖表、數據					तालीका	बंगाली তালিকা तालिका	तालिका		सूची, श्रृंखला, तालिका, आंकड़े, चार्ट, डेटा					талика	Бенгали তালিকা talika 'список, диаграмма, таблица'	список		список, серия, таблица, диаграмма, база данных					talika	Bengáli তালিকা talika 'lista, carta, tabela'	lista		lista, série, tabela, carta, dados					talika	Bengali তালিকা talika 'Liste, Tabelle'	Liste		Liste, Serie, Tabelle, Diagramm, Daten				
🧮	irregular	talili	Tagalog daliri 'finger, toe, mentioning things one by one'	finger	count	finger, toe	genitive				talili	Tagalog daliri 'finger, toe, mentioning things one by one'	指	数（数）	手指、脚趾	手指的、脚趾的（属格）				talili	Tagalog daliri 'finger, toe, mentioning things one by one'	指	數（數）	手指、腳趾	手指的、腳趾的（屬格）				तालीली	तगालोग daliri दालीरी 'उंगली, गिनाना'	उंगली	गिनना	उंगली	उंगली का				талили	Тагалог daliri 'палец, упоминание вещей одно за другим'	палец	считать	палец	указывающий				talili	Tagalog daliri 'dedo, mencionar coisas uma por uma'	dedo	contar, fazer conta	dedo	genitivo				talili	Tagalog daliri 'Finger, Zehe, Dinge einzeln erwähnen'	Finger	zählen	Finger, Zeh	Genitiv			
↩️	preposition	tan	Cantonese 從 tsung4 ‘from’	from					by, from		tan	Cantonese 從 tsung4 ‘from’	从					由、从		tan	Cantonese 從 tsung4 ‘from’	從					由、從		तां	कैंटोनी 從 त्सङ ‘से (जगह)’	से (जगह)					से (जगह)		тан	Китайский кантонский 從 tsung4 ‘из’	из					от, из		tan	Cantonês 從 tsung4 ‘de’	de (origem)					(vindo) de		tan	Kantonesisch 從 tsung4 ‘von, aus’	von					von, aus	
💭	verb	tana	Swahili dhana 'concept', ultimately from Arabic ظن ẓann	think	to think	thought/opinion					tana	Swahili dhana 'concept', ultimately from Arabic ظن ẓann	想	想、考虑	思想、想法、意见					tana	Swahili dhana 'concept', ultimately from Arabic ظن ẓann	想	想、考慮	思想、想法、意見					ताना	स्वाहिली dhana धाना 'सोच', जिसका मूल है अरबी ظن ज़न	सोचना	सोचना	सोच, विचार					тана	Суахили dhana 'идея', от арабского ظن ẓann	думать	думать	мысль, мнение					tana	Suaíle dhana 'conceito', derivado do árabe ظن ẓann	pensar	pensar	pensamento, opinião					tana	Swahili dhana 'Konzept', aus dem Arabischen ظن ẓann	denken	denken	Gedanke, Meinung				
🦷	irregular	tanta	Hindi दाँत dā̃t 'tooth'	tooth	bite	tooth, teeth	genitive				tanta	Hindi दाँत dā̃t 'tooth'	牙	咬	牙齿	牙齿的（属格）				tanta	Hindi दाँत dā̃t 'tooth'	牙	咬	牙齒	牙齒的（屬格）				तांता	हिंदी दाँत	दाँत	काँटना (दाँतों से)	दाँत	दाँत का				танта	Хинди दाँत dā̃t 'зуб'	зуб	кусать	зуб, клык, зубы					tanta	Híndi दाँत dā̃t 'dente'	dente	morder	dente	genitivo				tanta	Hindi दाँत dā̃t 'Zahn'	Zahn	beißen	Zahn	Genitiv			
📦	noun	tapa	Hindi डब्बा ḍabbā 'box'	box		container, bag, bowl, box, cup, cupboard, drawer, vessel					tapa	Hindi डब्बा ḍabbā 'box'	盒子		容器、袋子、碗、盒子、杯子、橱柜、抽屉、器皿					tapa	Hindi डब्बा ḍabbā 'box'	盒子		容器、袋子、碗、盒子、杯子、櫥櫃、抽屜、器皿					तापा	हिंदी डब्बा	डब्बा		डब्बा, अल्मारी, कटोरा, बोतल, शीशी, बक्सा					тапа	Хинди डब्बा ḍabbā 'ящик'	ящик		контейнер, сумка, чаша, ящик, шкаф, сосуд					tapa	Híndi डब्बा ḍabbā 'caixa'	caixa		contêiner, bolsa, tigela, caixa, xícara, armário, gaveta, recipiente					tapa	Hindi डब्बा ḍabbā 'Box'	Kasten		Behälter, Tasche, Schüssel, Kiste, Tasse, Schrank, Schublade, Gefäß				
🏜️	modifier	taso	Tok Pisin tasol ‘just, only, but, however’, ultimately from English that’s all	only			only, sole				taso	Tok Pisin tasol ‘just, only, but, however’, ultimately from English that’s all	只是			只是、仅此、唯一的				taso	Tok Pisin tasol ‘just, only, but, however’, ultimately from English that’s all	只是			只是、僅此、唯一的				तासो	टोक पिसिन tasol तासोल ‘सिर्फ’, जिसका मूल है अंग्रेज़ी that’s all दैट्स औल 'बस इतना ही'	सिर्फ़			सिर्फ़, केवल				тасо	Ток-писин tasol ‘только, но, тем не менее’, от английского that’s all	только			только, лишь, однако				taso	Tok Pisin tasol ‘apenas, só, mas, porém’, derivado do inglês that’s all 'isso é tudo'	apenas			apenas, somente				taso	Tok Pisin tasol ‘nur, aber’, aus dem Englischen that’s all	nur			alleine, nur			
🚆	modifier	tawa	English towards	moving			moving, mobile, travelling, in motion				tawa	English towards	移动的			移动的、旅行的、在运动中的				tawa	English towards	移動的			移動的、旅行的、在運動中的				तावा	अंग्रेज़ी towards टुवर्ड्स 'की ओर'	चलता			चलता हुआ, एक जगह से दूसरी जगह जाता हुआ				тава	Английский towards 'в направлении'	двигать	двигать, перемещать, идти	движение	движущийся, мобильный, путешествующий, в движении				tawa	Inglês towards 'em direção a'	móvel			em movimento, móvel, viajando				tawa	Englisch towards 'auf (etwas) zu'	bewegend			bewegend, mobil, reisend			
🫂	modifier	tawonje	Zulu ndawonye 'together'	together			together, united, in solidarity				tawonje	Zulu ndawonye 'together'	一起的			一起的、联合的、凝聚的、团结的				tawonje	Zulu ndawonye 'together'	一起的			一起的、聯合的、凝聚的、團結的				तावोंये	ज़ुलु ndawonye न्दावोंये 'साथ में'	एक साथ			एस साथ, एक जुट				тавоне	Зулу ndawonye 'вместе'	вместе	объединяться		вместе, в солидарности				tawonje	Zulu ndawonye 'juntos'	juntos			juntos, unidos, em solidariedade				tawonje	Zulu ndawonye 'zusammen'	zusammen			zusammen, vereint, solidarisch			
⏸️	particle	te	Mandarin chinese 的 de, relative clause marker	[relative cl]				relative clause marker			te	Mandarin chinese 的 de, relative clause marker	[关系从句]				（关系从句标记）（名词性从句标记）			te	Mandarin chinese 的 de, relative clause marker	[關係從句]				（關係從句標記）（名詞性從句標記）			ते	चीनी 的 दे (संबंधवाचक खंड का प्रतीक)	[संबंधवाचक खंड] 				संबंधवाचक खंड का प्रतीक			тэ	Китайский 的 de, (маркер относительного предложения)	[относительное предл.]				маркер относительного предложения			te	Mandarim 的 de, marcador da oração subordinada	[oração sub]				marcador da oração subordinada			te	Mandarin chinese 的 de, Relativsatzmarker	[Relativsatz]				Relativsatzmarker		
💧	noun	telo	Acadian French de l’eau ‘(some) water’	water		water, liquid, juice, sauce, fluid, wet substance, beverages					telo	Acadian French de l’eau ‘(some) water’	水		水、液体、果汁、酱汁、流体、湿物质、饮料					telo	Acadian French de l’eau ‘(some) water’	水		水、液體、果汁、醬汁、流體、濕物質、飲料					तेलो	अकाडियन फ्रेंच de l’eau दे ल्यो ‘(थोड़ा) पानी’	पानी		पानी, जल, गीली चीज़, तरल					тэло	Французский акадский de l’eau ‘(немного) воды’	вода		вода, жидкость, сок, соус, напитки, море, бассейн					telo	Francês acadiano de l’eau ‘(um pouco d') água’	água		água, líquido, suco, molho, fluido, substância molhada, bebida					telo	Akadisches Französisch de l’eau ‘(vom) Wasser’	Wasser		Wasser, Flüssigkeit, Saft, Soße, Getränk				
	numeral	ten	English ten	ten						ten	ten	English ten	十						十、10	ten	English ten	十						十、10	तें	अंग्रेज़ी ten टेन 'दस'	दस						दस	тэн	Английский ten 'десять'	десять						десять	ten	Inglês ten 'dez'	dez						dez	ten	Englisch ten 'zehn'	zehn						zehn
⏰	noun	tenpo	Esperanto tempo ‘time’, ultimately from Latin tempus	time		time, duration, moment, occasion, period, situation					tenpo	Esperanto tempo ‘time’, ultimately from Latin tempus	时间		时间、持续时间、时刻、机会、时期、情况					tenpo	Esperanto tempo ‘time’, ultimately from Latin tempus	時間		時間、持續時間、時刻、機會、時期、情況					तेंपो	एस्पेरांटो tempo तेंपो ‘वक्त’, जिसका मूल है लैटिन tempus तेंपूस	वक़्त		वक़्त, समय, टाईम, दौर					тэнпо	Эсперанто tempo ‘время’, с Латыни tempus	время		время, продолжительность, момент, случай, период, ситуация					tenpo	Esperanto tempo ‘tempo’, derivado do latim tempus	tempo		tempo, duração, momento, ocasião, período, situação					tenpo	Esperanto tempo ‘Zeit’, aus dem Lateinischen tempus	Zeit		Zeit, Dauer, Moment, Anlass, Zeitraum, Situation				
🔩	modifier	tepaka	Amharic ጠባቃ t’ebak’a 'firm'	tight			firm, tight, pressed				tepaka	Amharic ጠባቃ t’ebak’a 'firm'	紧的			牢固的、紧实的、压制的、压缩的				tepaka	Amharic ጠባቃ t’ebak’a 'firm'	緊的			牢固的、緊實的、壓制的、壓縮的				तेपाका	अम्हारिक ጠባቃ तेबाका 'कसा हुआ'	मज़बूत			मज़बूत, कसा हुआ, दबा हुआ				тэпака	Амхарский ጠባቃ t’ebak’a 'твердый'	плотный			твердый, плотный, прессованный				tepaka	Amárico ጠባቃ t’ebak’a 'firme'	apertado			firme, apertado, pressionado				tepaka	Amharisch ጠባቃ t’ebak’a 'fest'	eng			fest, eng			
🧲	modifier	tewe	Hebrew דֶבֶק devek ‘glue, adhesive’	connected			joint, stuck, glued, connected				tewe	Hebrew דֶבֶק devek ‘glue, adhesive’	接合的			接合的、粘住的、胶合的、连接的				tewe	Hebrew דֶבֶק devek ‘glue, adhesive’	接合的			接合的、粘住的、膠合的、連接的				तेवे	हिब्रू דֶבֶק देवेक ‘फ़ेविकाॅल’	जुड़ा			जुड़ा हुआ, चिपका हुआ				тэвэ	Иврит דֶבֶק devek ‘клей’	связь	подключиться	связь	соединённый, подключенный, на связи, онлайн				tewe	Hebraico דֶבֶק devek ‘cola, adesivo’	conectado			junto, preso, colado, conectado				tewe	Hebräisch דֶבֶק devek ‘Kleber’	verbunden			verbunden, zusammengeklebt			
🧘	modifier	tijan	Hindi ध्यान dhyān 'attention'	attentive			focused, attentive				tijan	Hindi ध्यान dhyān 'attention'	专注的			专注的、专心的、留心的、关心的、聚焦的				tijan	Hindi ध्यान dhyān 'attention'	專注的			專注的、專心的、留心的、關心的、聚焦的				तियां	हिंदी ध्यान	ध्यान			ध्यान देता हुआ				тиян	Хинди ध्यान dhyān 'внимание'	внимание		внимание	сосредоточенный, внимательный				tijan	Híndi ध्यान dhyān 'atenção'	atencioso			focado, atencioso				tijan	Hindi ध्यान dhyān 'Aufmerksamkeit'	aufmerksam			aufmerksam, fokusiert			
🧍	noun	tijelo	Serbo-Croatian тијело tijelo ‘body’	body		body (of person or animal), torso, physical state					tijelo	Serbo-Croatian тијело tijelo ‘body’	身体		身体（人或动物）、躯体、躯干、身体状态					tijelo	Serbo-Croatian тијело tijelo ‘body’	身體		身體（人或動物）、軀體、軀幹、身體狀態					तियेलो	सर्ब-क्रोएशियन тијело तियेलो ‘शरीर’	शरीर		शरीर, शारीरिक हाल					тиело	Сербо-хорватский тијело tijelo ‘тело’	тело		тело (человека или животного), торс, физическое состояние					tijelo	Servo-croata тијело tijelo ‘corpo’	corpo		corpo (de pessoa ou animal), torso, estado físico					tijelo	Serbokroatisch тијело tijelo ‘Körper’	Körper		Körper, Torso/Rumpf				
🐢	modifier	tile	Hindi धीरे dhīre 'slowly'	slow			slow, slowly				tile	Hindi धीरे dhīre 'slowly'	慢的			慢的				tile	Hindi धीरे dhīre 'slowly'	慢的			慢的				तीले	हिंदी धीरे	धीरे			धीरे, धीमे, आहिस्ता				тилэ	Хинди धीरे dhīre 'медленно'	медленно		покой	медленно, спокойно, неспешно				tile	Híndi धीरे dhīre 'devagar'	lento			lento, devagar				tile	Hindi धीरे dhīre 'langsam'	langsam			langsam			
🦙	modifier	tini	Zhuang dinj 'short'	short			short				tini	Zhuang dinj 'short'	短的			短的				tini	Zhuang dinj 'short'	短的			短的				तीनी	झुआंग दीन्य 'नाटा'	नाटा			छोटे कद/लंबाई का, नाटा, बटला				тини	Китайский чжуанский dinj 'короткий'	короткий			короткий, компактный, уютный				tini	Zhuang dinj 'curto'	curto			curto				tini	Zhuang dinj 'kurz'	kurz			kurz			
👂	verb	tinto	Mandarin 聽到 tīngdào 'listen, hear, obey'	hear	to hear, to listen	(heard) sound, noise					tinto	Mandarin 聽到 tīngdào 'listen, hear, obey'	听	听	（听到的）声音、噪音					tinto	Mandarin 聽到 tīngdào 'listen, hear, obey'	聽	聽	（聽到的）聲音、噪音					तींतो	चीनी 聽到 तीङताउ 'सुनना, बात मानना'	सुनना	सुनना	(सुनी हुई) आवाज़					тинто	Китайский 聽到 tīngdào 'слышать, слушать, подчиняться'	слышать	слышать, слушать	слушание					tinto	Mandarim 聽到 tīngdào 'escutar, ouvir, obedecer'	ouvir	ouvir, escutar	som (ouvido), barulho					tinto	Mandarin 聽到 tīngdào 'hören, gehorchen'	hören	hören	Gehörter Ton, Geräusch				
🎛️	noun	tisi	Mandarin 體系 tǐxì 'system'	system		system, process, method, organization					tisi	Mandarin 體系 tǐxì 'system'	系统		系统、过程、方法、组织					tisi	Mandarin 體系 tǐxì 'system'	系統		系統、過程、方法、組織					तीसी	चीनी 體系 तीशी 'व्यवस्था'	व्यवस्था		व्यवस्था, योजना, प्रक्रिया, संगठन, प्रणाली					тиси	Китайский 體系 tǐxì 'система'	система		система, процесс, метод, организация					tisi	Mandarim 體系 tǐxì 'sistema'	sistema		sistema, processo, método, organização					tisi	Mandarin 體系 tǐxì 'System'	System		System, Prozess, Methode, Organisation				
🤱	noun	titi	Swahili titi 'teat'	breast		chest, breast, teat, nipple					titi	Swahili titi 'teat'	胸部		胸部、乳房、乳头、奶头					titi	Swahili titi 'teat'	胸部		胸部、乳房、乳頭、乳頭					तीती	स्वहिली titi तीती 'स्तन'	स्तन		छाती, स्तन					тити	Суахили titi 'соска'	грудь		грудь, сиська, сосок					titi	Suaíle titi 'teta'	seio		peito, seio, teta, mamilo					titi	Swahili titi 'Zitze'	Brust		Brust, Busen, Brustwarze				
🧗	noun	tiwa	Punjabi ਦੀਵਾਰ dīvār 'wall' ultimately from Persian دیوار‎ divâr 'wall'	wall		vertical surface, support, wall					tiwa	Punjabi ਦੀਵਾਰ dīvār 'wall' ultimately from Persian دیوار‎ divâr 'wall'	墙壁		垂直表面、支撑、墙壁					tiwa	Punjabi ਦੀਵਾਰ dīvār 'wall' ultimately from Persian دیوار‎ divâr 'wall'	牆壁		垂直表面、支撐、牆壁					तीवा	पंजाबी ਦੀਵਾਰ दीवार जिसका मूल है फ़ारसी دیوار‎ दीवार	दीवार		दीवार, खड़ा हुआ सतह					тива	Панджаби ਦੀਵਾਰ dīvār 'стена' от персидского دیوار‎ divâr 'стена'	стена		вертикальная поверхность, опора, стена					tiwa	Punjabi ਦੀਵਾਰ dīvār 'muro' derivado do persa دیوار‎ divâr 'muro'	muro		superfície vertical, suporte, parede, muro					tiwa	Pandschabi ਦੀਵਾਰ dīvār 'Wand' aus dem Persischen دیوار‎ divâr 'Wand'	Wand		vertikale Fläche, Stütze, Wand				
🍸	noun	tiwata	Samoan tioata 'glass'	glass		glass, cup, china					tiwata	Samoan tioata 'glass'	玻璃		玻璃、杯子、瓷器					tiwata	Samoan tioata 'glass'	玻璃		玻璃、杯子、瓷器					तीवाता	समोअन tioata तिओआता 'काँच'	काँच		काँच, शीशा					тивата	Самоанский tioata 'стекло'	стекло		стекло, чашка, фарфор					tiwata	Samoano tioata 'vidro'	vidro		vidro, copo, xícara, porcelana					tiwata	Samoanisch tioata 'Glass'	Glas		Glas, Tasse, Porzellan				
🗣️	verb	toki	Tok Pisin tok, from English talk	talk	to communicate, to say, to speak, to talk, to chat	topic, utterance, speech, 'what's said'					toki	Tok Pisin tok, from English talk	说	交流、说、讲、说话、聊天	话题、话语、演讲、说过的事					toki	Tok Pisin tok, from English talk	說	交流、說、講、說話、聊天	話題、話語、演講、說過的事					तोकी	टोक पिसिन tok टोक, जिसका मूल है अंग्रेज़ी talk टाॅक 'बोलना'	कहना	कहना, बोलना, बात करना	बात, भाषण					токи	Ток-писин tok 'говорить', от английского talk	говорить	общаться, говорить, докладывать, сообщать, общаться в чате	тема, высказывание, речь, "что сказано"					toki	Tok Pisin tok, do inglês talk 'falar'	falar	comunicar-se, dizer, falar, conversar	tópico, enunciado, discurso, 'o que foi dito'					toki	Tok Pisin tok, aus dem Englischen talk 'sprechen'	reden	kommunizieren, sagen, sprechen, reden	Thema, Äußerung, Rede, 'was gesagt wird'				
🧪	noun	tolu	Estonian toru 'pipe'	tube		pipe, tube					tolu	Estonian toru 'pipe'	管子		管子、导管					tolu	Estonian toru 'pipe'	管子		管子、導管					तोलू	एस्तोनियन toru तोरु 'पाईप'	पाईप		पाईप, ट्यूब					толу	Эстонский toru 'труба'	труба		труба, трубка					tolu	Estoniano toru 'cano'	tubo		tubo, cano					tolu	Estnisch toru 'Rohr'	Rohr		Rohr				
🏠	noun	tomo	Esperanto domo ‘house’, ultimately from Polish dom, Latin domus, Ancient Greek δόμος	house		building, home, house					tomo	Esperanto domo ‘house’, ultimately from Polish dom, Latin domus, Ancient Greek δόμος	房屋		建筑、家、房子、房屋					tomo	Esperanto domo ‘house’, ultimately from Polish dom, Latin domus, Ancient Greek δόμος	房屋		建築、家、房子、房屋					तोमो	एस्पेरांटो domo दोमो ‘घर’	घर		इमारत, घर, गृह					томо	Эсперанто domo ‘дом’, от польского dom, латыни domus, древнегреческого δόμος	дом		сооружение, здание, дом					tomo	Esperanto domo ‘casa’, derivado do polonês dom, latim domus, grego antigo δόμος	casa		edificação, lar, casa					tomo	Esperanto domo ‘Haus’, aus dem Polnischen dom, Lateinischen domus, Altgriechischen δόμος	Haus		Gebäude, Haus				
⚧️	modifier	tonsi	Mandarin 同志 tóngzhì ‘comrade (same will/purpose); LGBT+’	non binary			trans, gender-non-conforming, non-binary				tonsi	Mandarin 同志 tóngzhì ‘comrade (same will/purpose); LGBT+’	性转的			跨性别的、性别不明确的、非二元性别的				tonsi	Mandarin 同志 tóngzhì ‘comrade (same will/purpose); LGBT+’	性轉的			跨性別的、性別不明確的、非二元性別的				तोंसी	चीनी 同志 तोङत्स ‘साथी; समलैंगिक’	तीसरा लिंग			खुसरा, किन्नर, हिजड़ा, तीसरा लिंग				тонси	Китайский 同志 tóngzhì ‘товарищ; ЛГБТ+’	транс (секс)		гей, трансвестит, лесбиянка, свингер, нетрадиционный секс					tonsi	Mandarim 同志 tóngzhì ‘camarada (mesma vontade/propósito); LGBT+’	não-binário			transgênero, não-conformista de gênero, não-binário				tonsi	Mandarin 同志 tóngzhì ‘Genosse/Genossin(gleicher Wille); LGBT+’	nicht-binär			trans, geschlechtsunkonform, nicht-binär			
🤏	modifier	tote	Marathi थोडे thoḍe ‘a little, small amount of’	few			few, a bit				tote	Marathi थोडे thoḍe ‘a little, small amount of’	少许			少许、少量、一点				tote	Marathi थोडे thoḍe ‘a little, small amount of’	少許			少許、少量、一點				तोते	मराठी थोडे ‘थोड़े’	थोड़ा			थोड़ा				тотэ	Маратхи थोडे thoḍe ‘немного, небольшое количество’	немного			немного, несколько				tote	Marati थोडे thoḍe ‘um pouco, pequena quantidade de’	pouco			pouco				tote	Marathi थोडे thoḍe ‘ein wenig, eine kleine Menge'	wenig			wenig, ein bisschen			
2️⃣	numeral	tu	English two & Esperanto du	two						two	tu	English two & Esperanto du	二						二、2	tu	English two & Esperanto du	二						二、2	तू	अंग्रेज़ी two टू और एस्पेरांटो du दू 'दो'	दो						दो	ту	Английский two 'два' & Эсперанто du	два						два	tu	Inglês two & Esperanto du 'dois'	dois						dois	tu	Englisch two & Esperanto du 'zwei'	zwei						zwei
🚀	modifier	tula	Marathi दूर dūra 'far, distant'	far			far, distant				tula	Marathi दूर dūra 'far, distant'	遥远的			遥远的				tula	Marathi दूर dūra 'far, distant'	遙遠的			遙遠的				तूला	मराठी दूर	दूर			दूर				тула	Маратхи दूर dūra 'далеко, дальний'	далеко			далеко, в отдалении				tula	Marathi दूर dūra 'longe, distante'	distante			longe, distante				tula	Marathi दूर dūra 'fern, weit weg'	fern			fern, entfernt, weit weg			
💯	modifier	tuntan	Vietnamese đúng đắn 'correct'	correct			correct, fair, right, just				tuntan	Vietnamese đúng đắn 'correct'	正确的			正确的、对的、公平的、公正的				tuntan	Vietnamese đúng đắn 'correct'	正確的			正確的、對的、公平的、公正的				तूंतां	वियतनामी दूङदान 'सही'	सही			सही, उचित				тунтан	Вьетнамский đúng đắn 'правильный'	правильно			правильно, честно, корректно, просто, всего лишь				tuntan	Vietnamese đúng đắn 'correto'	correto			correto, justo, certo				tuntan	Vietnamesisch đúng đắn 'korrekt'	richtig			richtig, gerecht, korrekt			
💓	modifier	tutu	onomatopoeia	excitement			excited, anticipating, aroused, high heartbeat emotion				tutu	onomatopoeia	兴奋的			兴奋的、期待的、激动的、心跳加速的				tutu	onomatopoeia	興奮的			興奮的、期待的、激動的、心跳加速的				तूतू	अर्थानुरणन	उत्साहित			उत्साहित, उत्तेजित, तेज़ धड़कनों वाला भाव				туту	звукоподражание	возбужденный		состояние повышенного сердцебиения	возбужденный, активный, резкий, активная эмоция				tutu	onomatopeia	animado			animado, antecipando, excitado, emoção de altos batimentos cardíacos				tutu	Lautmalerei	erstaunt			aufgeregt, erwartungsvoll, erregt, Emotion mit starkem Herzschlag			
🛎️	verb	ukumu	Arabic حُكْم‎ ḥukm 'order, command'	command	order, mandate, command	command, mandate					ukumu	Arabic حُكْم‎ ḥukm 'order, command'	命令	命令、委托、授权、要求	命令、委托、授权、要求					ukumu	Arabic حُكْم‎ ḥukm 'order, command'	命令	命令、委託、授權、要求	命令、委託、授權、要求					ऊकूमू	अरबी حُكْم‎ हुक्म	हुक्म	हुक्म/आदेश करना	हुक्म, आदेश					укуму	Арабский حُكْم‎ ḥukm 'приказ, команда'	приказ	приказывать, командовать, наставлять	команда, мандат, приказ					ukumu	Árabe حُكْم‎ ḥukm 'ordem, comando'	comandar	ordenar, mandar, comandar	comando, mandato					ukumu	Arabisch حُكْم‎ ḥukm 'Befehl'	Befehl	Befehl, Auftrag, Mandat	beaufragen, befehlen				
🪙	modifier	ulokan	Tamil உலோகம் ulōkam 'metal'	metallic			hard, metallic				ulokan	Tamil உலோகம் ulōkam 'metal'	硬的			硬的、金属性的				ulokan	Tamil உலோகம் ulōkam 'metal'	硬的			硬的、金屬性的				ऊलोकां	तमिल உலோகம் उलोगम 'मेटल'	मेटल			कड़क, धातुमय, मेटल जैसा				улокан	Тамильский உலோகம் ulōkam 'металл'	металл		металл	жесткий, металлический				ulokan	Tâmil உலோகம் ulōkam 'metal'	metálico			duro, metálico				ulokan	Tamil உலோகம் ulōkam 'Metall'	metallisch			hart, metallisch			
🍖	modifier	umami	Japanese うま味 umami 'umami'	meat			meat, muscle, umami (flavor)				umami	Japanese うま味 umami 'umami'	肉的			肉的、肌肉的、鲜味的（风味）				umami	Japanese うま味 umami 'umami'	肉的			肉的、肌肉的、鮮味的（風味）				ऊमामी	जापानी うま味 उमामी 'उमामी'	माँस			माँस, माँसपेशी, उमामी (स्वाद)				умами	Японский うま味 umami 'умами'	мышца			живая материя, мышцы, орган тела, железа				umami	Japonês うま味 umami 'umami'	carne			carne, músculo, umami (sabor)				umami	Japanisch うま味 umami 'Umami'	Fleisch			Fleisch, Muskel, Umami (Geschmack)			
🥗	modifier	unja	Mandarin 混合 hùnhé 'mixed'	mixed			mixed, impure, heterogenous				unja	Mandarin 混合 hùnhé 'mixed'	混合的			混合的、不纯的、异质的				unja	Mandarin 混合 hùnhé 'mixed'	混合的			混合的、不純的、異質的				ऊंया	चीनी 混合 हुन्ह 'मिश्रित'	मिलावटी			मिलावटी, विभिन्न, मिला हुआ, मिश्रित				унья	Китайский 混合 hùnhé 'смешанный'	смесь		смесь	смешанный, нечистый, составной, неоднородный				unja	Mandarim 混合 hùnhé 'misturado'	misturado			misturado, impuro, heterogêneo				unja	Mandarin 混合 hùnhé 'vermischt'	vermischt			vermischt, unrein, heterogen			
🍆	modifier	unpa	onomatopoeia	sex			erotic, sexual, in a state of intercourse				unpa	onomatopoeia	情色的			性的、情色的、性欲的、性交状态的				unpa	onomatopoeia	情色的			性的、情色的、性欲的、性交狀態的				ऊंपा	अर्थानुरणन	संभोग			संभोग, काम, संभोग करता हुआ				унпа	звукоподражание	секс		секс, эротика, половой акт	эротический, сексуальный, сексуально возбужденный				unpa	onomatopeia	sexual			erótico, sexual, em estado de relação sexual				unpa	Lautmalerei	sex			erotic, sexual, in a state of intercourse			
